운동명,출현빈도
전신 루틴 스트레칭,44188
달리기,32283
정적 스트레칭  루틴프로그램,31261
동적 스트레칭 루틴프로그램,30144
맨몸운동  루틴프로그램,29098
조깅,27239
하지 루틴 스트레칭2,25772
하지 루틴 스트레칭1,22905
걷기,22808
유산소 운동 전 동적 루틴 스트레칭,22605
상지 루틴 스트레칭,20564
줄넘기 운동,19553
실내 자전거타기,18014
넙다리 뒤쪽 스트레칭,17808
앉았다 일어서기,15788
웨이트 트레이닝  루틴프로그램,15711
엎드려 버티기,15422
수영,14822
엉덩이 스트레칭,14586
자전거타기,14375
어깨 뒤쪽 스트레칭,13801
넙다리 안쪽 스트레칭,13279
허리 스트레칭,12651
요가 및 필라테스  루틴프로그램,12195
계단 올라갔다 내려오기,12014
저항밴드 운동  루틴프로그램,11615
자가근막이완술 루틴 스트레칭,11450
발목 돌리기,11286
버피운동,10947
가슴,10919
팔굽혀펴기,10463
어깨 앞쪽 스트레칭,10332
발 끝 당기기,10046
배스트레칭,9760
줄넘기,9738
윗몸올리기,9358
윗몸 말아 올리기,9345
트레드밀에서 걷기,9341
턱걸이,8425
왕복달리기,8331
계단 뛰어 오르기,7852
넙다리 앞쪽 스트레칭,7813
목 스트레칭,6888
나비자세,6690
옆구리 스트레칭,6655
엎드려 상체 들어올리기,6514
제자리 뛰기,6439
윗몸 일으키기,6401
팔벌려뛰기,6223
고정식 자전거 타기,6138
버피 테스트,6060
바운딩 운동  루틴프로그램,5911
거북이 스트레칭,5843
사다리 운동  루틴프로그램,5793
전완대고 버티기,5556
누워서 다리 들어올리기,5515
박스 운동  루틴프로그램,5479
아래 팔 스트레칭,5425
바벨 끌어당기기,5393
매달려서 다리 들기,5335
메디신볼 운동  루틴프로그램,5294
실외 자전거타기,5271
다리 모아 상체 숙이기,5256
엎드려 한발 원 그리기,5118
흔들어 체조,4919
누워서 뒤로 팔굽혀펴기,4709
고정식 트레드밀에서 걷기,4669
앉았다 일어서면서 점프하기,4669
한발 앞으로 내밀고 앉았다 일어서기,4611
앉아서 다리 펴기,4525
엎드려 팔 대고 버티기,4436
무릎 높여 제자리 달리기,4391
누워서 배가로근 수축 II,4341
손 뻗어 윗몸 일으키기,4325
고관절 스트레칭,3950
왜가리 자세,3889
다리 벌려 앞으로 상체 숙이기,3797
대퇴사두근 스트레칭,3693
엎드려 팔로 걷기,3650
스텝박스 오르내리기,3626
어깨 스트레칭,3600
앉아서 다리 밀기,3569
누워 무릎 기울기,3547
엎드려 무릎 연속 차기,3521
스텝박스,3430
벽패스,3424
짝 스트레칭  루틴프로그램,3381
누워서 팔 다리 동시에 들어올리기,3370
계단 오르기,3337
다리 굽혀(W자) 상체 뒤로 눕기,3261
대퇴이두근 스트레칭,3253
1단 줄넘기,3187
소파를 이용한 윗몸올리기,3146
몸통 비틀기,3145
윗몸말아올리기,3144
발바닥 마주대고 끌어당기기,3079
옆으로 누워 버티기,3033
옆으로 누워서팔 앞으로 당기기,2984
발목 얹고 다리 잡아당기기,2911
다리 뻗어 올리기,2869
